"Libellé Sortie";"Code Enquète";"Observateurs";"Num Enquéte";"Heure Début";"Enquete Hors Panier";"Panier Complet";"Pecheur Sensibilisé";"Pecheur enqueté";"Constitution Groupe";"Nb adultes";"Nb enfants";"Nb tous petits";"Nb pecheurs groupe";"Nb Pecheurs Sensibilises";"Nb Reglettes";"Nb Depliants";"Observations";"Annuaire de marée";"Etat Sanitaire";"Source d'information";"Equipé Téléphone portable";"Connaissance Numéro Secours";"Numéro Secours";"Critéres choix site"
"Cap Gris Nez_15/06/2015_AM_201";;"AM";"201.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_202";;"AM";"202.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_203";;"AM";"203.0";"09:25";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_204";;"AM";"204.0";"09:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;2;;5;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_205";;"AM";"205.0";"09:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;4;;7;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_206";;"AM";"206.0";"10:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_207";;"AM";"207.0";"10:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_208";;"AM";"208.0";"10:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";1;1;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_15/06/2015_AM_209";;"AM";"209.0";"10:37";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_16/05/2015_FB_273";;"FB";"273.0";"19:03";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";4;0;;4;;;;;"Oui";"Oui";"Professionnels du tourisme";;;;"Improvisé ou par hasard (non choix)"
"Cap Gris Nez_19/08/2016_MR_361";;"MR";"361.0";"08:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;2;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_19/08/2016_MR_362";;"MR";"362.0";"08:25";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;2;;;"Oui";"Oui";"Médias (journaux, radios, tv)";;;;""
"Cap Gris Nez_19/08/2016_MR_363";;"MR";"363.0";"08:36";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;2;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_19/08/2016_MR_364";;"MR";"364.0";"08:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;2;;;"Oui";"Oui";"Internet / Applications mobiles";;;;""
"Cap Gris Nez_19/08/2016_MR_365";;"MR";"365.0";"09:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;2;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_19/08/2016_MR_366";;"MR";"366.0";"09:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;1;;3;;3;;;"Oui";"NC";"";;;;""
"Cap Gris Nez_19/08/2016_MR_367";;"MR";"367.0";"09:35";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;3;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_19/08/2016_MR_368";;"MR";"368.0";"09:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;1;;4;;4;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_HB_379";;"HB";"379.0";"09:12";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;1;;4;;3;;;"Oui";"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";;;;""
"Cap Gris Nez_20/08/2016_HB_380";;"HB";"380.0";"08:57";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";4;0;;4;;2;;;"Oui";"NC";"";;;;""
"Cap Gris Nez_20/08/2016_HB_381";;"HB";"381.0";"10:25";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;3;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_HB_382";;"HB";"382.0";"10:45";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";4;0;;4;;4;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_HB_383";;"HB";"383.0";"09:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;1;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_HB_384";;"HB";"384.0";"09:25";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;3;;;"Oui";"Oui";"Médias (journaux, radios, tv)";;;;""
"Cap Gris Nez_20/08/2016_MLI_369";;"MLI";"369.0";"10:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";4;0;;4;;1;;;"Non";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_MLI_370";;"MLI";"370.0";"10:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;1;;;"Oui";"Oui";"";;;;""
"Cap Gris Nez_20/08/2016_MLI_371";;"MLI";"371.0";"11:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;3;;5;;2;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_MLI_372";;"MLI";"372.0";"09:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";3;0;;3;;1;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_MLI_373";;"MLI";"373.0";"08:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;1;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_MLI_374";;"MLI";"374.0";"09:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;1;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_20/08/2016_MLI_375";;"MLI";"375.0";"09:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;3;;6;;2;;;"Oui";"Non";"Aucune";;;;""
